id,clase,frames_visto,n_det,conf_med,cx,cy,cz,dmx,dmy,dmz,d90x,d90y,d90z,estado
0,silla,296,296,0.94,-0.963,5.09,0.151,0.513,0.193,0.264,0.632,0.283,0.516,ok
1,mesa,110,110,0.91,0.677,3.347,0.19,0.838,0.294,0.13,0.912,0.365,0.226,ok
2,mesa,100,101,0.73,1.53,5.47,0.686,0.408,0.184,0.37,0.607,0.327,0.647,ok
3,silla,76,76,0.85,1.537,1.724,0.405,0.292,0.124,0.228,0.442,0.16,0.326,ok
4,mesa,61,61,0.78,0.115,5.001,0.166,1.327,0.2,0.164,1.488,0.344,0.215,ok
5,mesa,65,65,0.5,-1.679,2.08,0.394,0.385,0.217,0.328,0.605,0.287,0.447,ok
6,silla,63,63,0.92,1.279,4.515,0.301,0.349,0.121,0.07,0.45,0.181,0.154,ok
7,silla,58,58,0.73,-1.376,2.496,0.015,0.446,0.241,0.422,0.693,0.335,0.583,ok
8,silla,51,51,0.83,0.653,2.566,-0.052,0.349,0.147,0.225,0.519,0.326,0.494,ok
9,silla,52,52,0.69,1.391,-0.079,0.058,0.277,0.065,0.105,0.464,0.226,0.313,ok
10,silla,44,44,0.58,0.729,1.057,0.17,0.39,0.174,0.232,0.439,0.246,0.374,ok
11,silla,30,30,0.65,1.529,5.484,0.456,0.322,0.154,0.212,0.431,0.228,0.315,ok
12,mesa,23,23,0.85,1.388,4.649,0.433,0.461,0.381,0.479,0.526,0.505,0.5,ok
13,silla,13,13,0.79,1.624,3.38,0.503,0.367,0.146,0.171,0.493,0.274,0.266,ok
14,puerta,13,13,0.49,-6.064,4.917,1.142,0.521,0.36,0.152,0.737,0.489,0.194,ok
15,silla,10,10,0.49,0.514,5.412,0.542,0.494,0.228,0.248,0.618,0.41,0.289,ok
16,mesa,5,5,0.44,1.757,2.772,0.881,0.42,0.129,0.133,0.466,0.158,0.15,ok
17,mesa,5,5,0.5,-1.342,2.664,-0.038,0.302,0.123,0.484,0.418,0.142,0.521,ok
18,mesa,3,3,0.6,-2.828,1.242,0.02,0.14,0.076,0.138,0.516,0.16,0.15,dudoso
19,mesa,3,3,0.55,0.694,1.187,0.14,0.222,0.079,0.268,0.228,0.156,0.452,dudoso
20,mesa,2,2,0.48,-1.912,-0.507,-0.022,0.672,0.394,0.584,0.81,0.485,0.757,dudoso
21,mesa,2,2,0.52,1.43,-0.025,0.166,0.461,0.117,0.339,0.507,0.139,0.342,dudoso
22,mesa,2,2,0.51,-2.884,-0.368,0.78,0.44,0.192,0.263,0.55,0.194,0.317,dudoso
23,silla,2,2,0.44,-3.178,3.222,0.259,0.128,0.034,0.036,0.154,0.04,0.046,dudoso
24,mesa,2,2,0.43,0.991,-1.507,0.56,0.35,0.098,0.344,0.356,0.102,0.348,dudoso
25,mesa,1,1,0.53,-3.177,2.993,0.347,0.21,0.074,0.056,0.21,0.074,0.056,dudoso
26,mesa,1,1,0.49,1.211,-4.548,0.04,0.362,0.276,0.765,0.362,0.276,0.765,dudoso
27,mesa,1,1,0.49,-4.475,0.039,0.082,0.441,0.21,0.314,0.441,0.21,0.314,dudoso
28,mesa,1,1,0.47,0.874,4.304,-0.056,0.261,0.037,0.047,0.261,0.037,0.047,dudoso
29,mesa,1,1,0.45,-0.857,-0.231,-0.004,0.497,0.275,0.253,0.497,0.275,0.253,dudoso
30,silla,1,1,0.41,1.148,0.624,0.238,0.135,0.028,0.155,0.135,0.028,0.155,dudoso
31,mesa,1,1,0.4,-1.374,1.487,0.025,0.609,0.206,0.556,0.609,0.206,0.556,dudoso
